judge_status,public_action,manual_decision,manual_decision_note,row_count,review_row_count,years,year_range,afrc_name,afrc_place,afrc_address,best_college_id,best_college_name,best_score,second_college_id,second_college_name,second_score,score_gap,match_reason,same_city,risky_group_terms,strong_current_alternative,possible_current_alternatives,agent_a_matcher_reason,agent_b_skeptic_objection,agent_c_historian_policy,agent_e_judge_reason,raw_fee_texts,branch_amounts,sessions,source_pages,source_urls,alternatives
resolved_historical_exclude,do_not_publish_current_fee,no,,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,Aditya College of Technology Science,Satna,"95, Mahdeva Road, Sherganj, SatnaM.P.",h3,"Aditya College of Technology & Science, Satna",1.000,207,"Lakshmi Narain College of Technology & Science, Bhopal",0.759,0.241,matched historical/defunct college,yes,lakshmi narain,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card; same-group collision risk: lakshmi narain,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Identity is resolved to a historical/defunct college ID; keep out of current public fee displays.,26000,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2017:page:1 | AFRC:T:2018:page:1 | AFRC:T:2019:page:1 | AFRC:T:2021:page:1 | AFRC:T:2024:page:1 | AFRC:T:2025:page:1 | fees.xml:item:13 | fees.xml:item:16 | fees.xml:item:17 | fees.xml:item:20,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h3:Aditya College of Technology & Science, Satna:1.000; 207:Lakshmi Narain College of Technology & Science, Bhopal:0.759; h10:BM College of Technology, Indore:0.746"
resolved_historical_exclude,do_not_publish_current_fee,no,,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,All Saints College of Technology,Bhopal,"Facing International Airport, NH-12, Narsinghgarh Road, Gandhinagar, Bhopal",h5,"All Saints College of Technology, Bhopal",1.000,171,"Jai Narain College of Technology, Bhopal",0.801,0.199,matched historical/defunct college,yes,,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Identity is resolved to a historical/defunct college ID; keep out of current public fee displays.,27500,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2018:page:1 | AFRC:T:2019:page:1 | AFRC:T:2021:page:1 | AFRC:T:2024:page:1 | AFRC:T:2025:page:1 | fees.xml:item:11 | fees.xml:item:12 | fees.xml:item:16 | fees.xml:item:17 | fees.xml:item:9,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h5:All Saints College of Technology, Bhopal:1.000; 171:Jai Narain College of Technology, Bhopal:0.801; 477:Sha-Shib College of Technology, Bhopal:0.794"
resolved_historical_exclude,do_not_publish_current_fee,no,,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,Alpine Institute of Technology,Ujjain,"Gram Chandesara, Dewas Road, Ujjain",h6,"Alpine Institute of Technology, Ujjain",1.000,387,"Rewa Institute of Technology, Rewa",0.794,0.206,matched historical/defunct college,yes,malwa,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card; same-group collision risk: malwa,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Identity is resolved to a historical/defunct college ID; keep out of current public fee displays.,24000,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2017:page:1 | AFRC:T:2018:page:1 | AFRC:T:2019:page:1 | AFRC:T:2021:page:1 | AFRC:T:2024:page:1 | AFRC:T:2025:page:1 | fees.xml:item:13 | fees.xml:item:16 | fees.xml:item:17 | fees.xml:item:20,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h6:Alpine Institute of Technology, Ujjain:1.000; 387:Rewa Institute of Technology, Rewa:0.794; 264:Malwa Institute of Technology, Indore:0.788"
resolved_historical_exclude,do_not_publish_current_fee,no,,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,Annie Institute of Technology and Research Centre,Chhindwada,"Khairwara Road, Village Thuniabhand, Near Airstrip, Chhindwara, M.P.",h7,"Annie Institute of Technology and Research Centre, Chhindwara",1.000,030,"Astral Institute of Technology & Research, Indore",0.800,0.200,matched historical/defunct college,no,,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card; city/place evidence does not confirm the candidate,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Identity is resolved to a historical/defunct college ID; keep out of current public fee displays.,23500,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2017:page:1 | AFRC:T:2018:page:1 | AFRC:T:2019:page:1 | AFRC:T:2021:page:1 | AFRC:T:2024:page:1 | AFRC:T:2025:page:1 | fees.xml:item:13 | fees.xml:item:16 | fees.xml:item:17 | fees.xml:item:20,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h7:Annie Institute of Technology and Research Centre, Chhindwara:1.000; 030:Astral Institute of Technology & Research, Indore:0.800; 003:Acropolis Institute of Technology & Research, Indore:0.796"
resolved_historical_exclude,do_not_publish_current_fee,no,,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,B M College of Technology,Indore,"Gram Gokanya, PO Kasturba Gram, Khandwa Road, Near Chokhi Dhani, Indore.",h10,"BM College of Technology, Indore",0.897,h75,"Shri Ram College of Technology, Bhopal",0.774,0.123,matched historical/defunct college,yes,shri ram;ies,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card; same-group collision risk: shri ram;ies; score below 0.900 (0.897),Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Identity is resolved to a historical/defunct college ID; keep out of current public fee displays.,22800,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2017:page:1 | AFRC:T:2018:page:1 | AFRC:T:2019:page:1 | AFRC:T:2021:page:1 | AFRC:T:2024:page:1 | AFRC:T:2025:page:1 | fees.xml:item:13 | fees.xml:item:16 | fees.xml:item:17 | fees.xml:item:20,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h10:BM College of Technology, Indore:0.897; h75:Shri Ram College of Technology, Bhopal:0.774; 135:IES College of Technology, Bhopal:0.772"
resolved_historical_exclude,do_not_publish_current_fee,no,,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,Guru Ramdas Khalsa Institute of Science Technology,Jabalpur,"Village Kukrikheda, Barela , Jabalpur",h13,"Guru Ramdas Khalsa Institute of Science & Technology, Jabalpur",1.000,501,"Shri Ram Institute of Science & Technology, Jabalpur",0.787,0.213,matched historical/defunct college,yes,shri ram;malwa,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card; same-group collision risk: shri ram;malwa,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Identity is resolved to a historical/defunct college ID; keep out of current public fee displays.,24850,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2017:page:2 | AFRC:T:2018:page:2 | AFRC:T:2019:page:2 | AFRC:T:2020:page:2 | AFRC:T:2021:page:2 | AFRC:T:2022:page:2 | AFRC:T:2023:page:2 | AFRC:T:2024:page:2 | AFRC:T:2025:page:2 | AFRC:T:2026:page:2,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h13:Guru Ramdas Khalsa Institute of Science & Technology, Jabalpur:1.000; 501:Shri Ram Institute of Science & Technology, Jabalpur:0.787; 258:Malwa Institute of Science & Technology, Indore:0.766"
resolved_historical_exclude,do_not_publish_current_fee,no,,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,Gwalior Institute of Information Technology,Gwalior,"Near Police Station, Maharajpura, Gwalior M.P.",h15,"Gwalior Institute of Information Technology, Gwalior",1.000,312,"NRI Institute of Information Science & Technology, Bhopal",0.763,0.237,matched historical/defunct college,yes,shri ram;nri,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card; same-group collision risk: shri ram;nri,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Identity is resolved to a historical/defunct college ID; keep out of current public fee displays.,22800,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2017:page:2 | AFRC:T:2018:page:2 | AFRC:T:2019:page:2 | AFRC:T:2020:page:2 | AFRC:T:2021:page:2 | AFRC:T:2022:page:2 | AFRC:T:2023:page:2 | AFRC:T:2024:page:2 | AFRC:T:2025:page:2 | AFRC:T:2026:page:2,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h15:Gwalior Institute of Information Technology, Gwalior:1.000; 312:NRI Institute of Information Science & Technology, Bhopal:0.763; 498:Shri Ram Institute of Information Technology, Banmore, Morena:0.725"
resolved_historical_exclude,do_not_publish_current_fee,no,,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,IASSCOM Fortune Institute of Technology,Bhopal,RASULIYA GOSAI RATIBAD ROAD SIKNDRABAD BHOPAL,h16,"IASSCOM fortune Institute of Technology, Bhopal",1.000,078,"Corporate Institute of Science & Technology, Bhopal",0.730,0.270,matched historical/defunct college,yes,,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Identity is resolved to a historical/defunct college ID; keep out of current public fee displays.,22800,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2018:page:2 | AFRC:T:2019:page:2 | AFRC:T:2020:page:2 | AFRC:T:2021:page:2 | AFRC:T:2023:page:2 | AFRC:T:2024:page:2 | AFRC:T:2025:page:2 | fees.xml:item:11 | fees.xml:item:12 | fees.xml:item:9,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h16:IASSCOM fortune Institute of Technology, Bhopal:1.000; 078:Corporate Institute of Science & Technology, Bhopal:0.730; h27:Mittal Institute of Technology, Bhopal:0.724"
resolved_historical_exclude,do_not_publish_current_fee,no,,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,"Laxmi Narain College of Technology,Indore",Indore,"VILLAGE BHAWARASALA, SANWER ROAD, REOTI RANGE, INDORE MADHYA PRADESH",h21,"Lakshmi Narain College of Technology, Indore",0.992,393,"Lakshmi Narain College of Technology & Science (RIT), Indore",0.873,0.119,matched historical/defunct college,yes,lakshmi narain,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card; same-group collision risk: lakshmi narain,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Identity is resolved to a historical/defunct college ID; keep out of current public fee displays.,30000,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2017:page:3 | AFRC:T:2018:page:4 | AFRC:T:2019:page:3 | AFRC:T:2020:page:3 | AFRC:T:2021:page:3 | AFRC:T:2022:page:3 | AFRC:T:2023:page:3 | AFRC:T:2024:page:3 | AFRC:T:2025:page:3 | AFRC:T:2026:page:3,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h21:Lakshmi Narain College of Technology, Indore:0.992; 393:Lakshmi Narain College of Technology & Science (RIT), Indore:0.873; h10:BM College of Technology, Indore:0.873"
user_rejected_no_match,do_not_publish_current_fee,yes,"User rejected IES College of Technology, Bhopal match; do not use.",10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,"Millennium College of Technology, Bhopal",Bhopal,"VILLAGE MUGALIYA KOT POST ISLAM NAGAR NEAR SUKHISEVANIA VIDISHA ROAD, BHOPAL",135,"IES College of Technology, Bhopal",0.913,564,"Oriental College of Technology, Bhopal",0.882,0.031,leading name token differs,yes,oriental;ies;millennium,"135:IES College of Technology, Bhopal:0.913","135:IES College of Technology, Bhopal:0.913; 564:Oriental College of Technology, Bhopal:0.882; 171:Jai Narain College of Technology, Bhopal:0.861","Top score exists, but the first distinctive name token differs from AFRC.","strong same-brand current alternative exists: 135:IES College of Technology, Bhopal:0.913; distinctive leading token mismatch can indicate a different institute; same-group collision risk: oriental;ies;millennium",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,"User rejected IES College of Technology, Bhopal match; do not use.",22800,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2017:page:4 | AFRC:T:2018:page:4 | AFRC:T:2019:page:3 | AFRC:T:2020:page:3 | AFRC:T:2021:page:3 | AFRC:T:2023:page:3 | AFRC:T:2024:page:3 | AFRC:T:2025:page:3 | fees.xml:item:12 | fees.xml:item:9,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"135:IES College of Technology, Bhopal:0.913; 564:Oriental College of Technology, Bhopal:0.882; 171:Jai Narain College of Technology, Bhopal:0.861"
